,title,company,description,location,state,salary,jobtype,skill,degree
940,Data Analyst,,"
            Seeking a senior planning analyst to handle analytical and administrative tasks. A   BACHELOR  's and 4 years of marketing,   BACHELOR  ness development, or planning experience are required. Remote option.
        ","Bakesfield, CA, Santa Monica, CA, Oxnard, CA, Stockton, CA",CA,,Option for Remote Job,,BACHELOR
941,Data Analyst,,"
            Full-time, temporary position. 100% remote. Duties include gathering requirements, translating   BACHELOR  ness requirements into technical requirements, identifying &amp; managing issues, and creating user-facing documentation.   BACHELOR  's degree required.
        ",US National,US National,,100% Remote Job,,BACHELOR
942,Data Analyst,,"
            Analyze financial issues related to budgeting, planning, and process improvements. Support strategy, forecasting,   BACHELOR   practices, and risk management by providing insights and recommendations. Work flexible and remote hours with unlimited vacation.
        ",US National,US National,,100% Remote Job,,BACHELOR
943,Data Analyst,,"
            Monitor a service request ticketing system and other customer correspondence. Provide customers with product information and assistance. Requires a   BACHELOR  's degree, high-level detail &amp; organization, and 2-4 yrs' exp. Work from home full-time.
        ","San Francisco, CA",CA,,100% Remote Job,,BACHELOR
944,Data Analyst,,"
            Seeking an associate production support analyst for a position with the option for remote work. Will assist users with access questions, provide training and guidance to users, and log all incoming queries and requests. Need a BA/BS and two years' exp.
        ","San Francisco, CA, United Kingdom, or US National",CA,,Option for Remote Job,,
945,Data Analyst,,"
            People Analytics Manager is needed for a remote role. He/She will identify opportunities for research to drive strategic decisions and process changes. Must be able to provide technical expertise to researchers. MASTER  degree and prior related exp req.
        ",US National,US National,,Option for Remote Job,,MASTER
946,Data Analyst,,"
            Senior Product Analyst is needed for a part-time remote position. He/She will manage and track the status of products throughout the project lifecycle. Must be able to build VISUALIZATIONs for monitoring product health. Prior related experience required.
        ",US National,US National,,100% Remote Job,,
947,Data Analyst,,"
            Finance Manager is needed for a remote position. He/She will manage a broad array of financial analyses necessary to inform key   BACHELOR  ness decisions. Must possess strong analytical skills. BA/BS degree and prior relevant experience required.
        ",US National,US National,,100% Remote Job,,BACHELOR
948,Data Analyst,,"
            Option for telecommuting. Candidate will help with the implementation and delivery of security protocols, support strategic risk management initiatives, and develop security awareness training material. Must have 3+ years of exp. with security risk mgmt. 
        ","Denver, CO",CO,,Option for Remote Job,,
949,Data Analyst,,"
            Full-time position. Remote during pandemic. Will communicate initiatives, draft content, translate information, pitch concepts and develop campaigns.   BACHELOR  's degree and 5+ years' related experience required. 
        ","Chantilly, VA",VA,,Remote - During Pandemic Job,,BACHELOR
950,Data Analyst,,"
            Full-time position. Will work with team, identify opportunities, make recommendations and optimize features.   BACHELOR  's degree and 3+ years' related experience required. Flexible schedule. Remote option. 
        ",US National,US National,,Option for Remote Job,,BACHELOR
951,Data Analyst,,"
            Remote position will configure/maintain lists, VISUALIZATIONs/other model settings, identify   BACHELOR  ness requirements, process design, and define support procedures/supporting implementations within the platform.  BACHELOR  degree required and three years of experience.
        ",US National,US National,,100% Remote Job,,BACHELOR
952,Data Analyst,,"
            Partial remote job with 15% travel for candidate who will coordinate with developers and project managers to gather requirements and incorporate enhancements and new reporting builds for the reporting suite. BA/BS degree or 12 years' experience required.
        ",US National,US National,,Partial Remote Job,,
953,Data Analyst,,"
            Seeking candidate with four years' relevant media exp. to provide actionable insights to optimize market spend, perform media budget planning, forecasting, performance insights, and reporting, and analyze specific performance KPIs. Remote, temporary job.
        ",US National,US National,,100% Remote Job,,
954,Data Analyst,,"
            Searching for a remote   BACHELOR  ness Intelligence Analyst with a  BACHELOR  and 3+ yrs of direct experience to help consumers improve energy usage by improving appliance efficacy. Will also need 2+ yrs in Looker or similar and advanced SQL skills are required. 
        ",US National,US National,,100% Remote Job,SQL,BACHELOR
955,Data Analyst,,"
            Full-time position with remote option. Will drive growth, create VISUALIZATIONs, implement systems, make recommendations and verify files.   BACHELOR  's degree preferred and 4+ years' related experience required. 
        ","Mountain View, CA",CA,,Option for Remote Job,,BACHELOR
956,Data Analyst,,"
            Full-time job, some remote work. Travel. Needs a   BACHELOR  's degree and three-five years' analytics experience. Help build and shape the analytics team, work with stakeholders with marketing to produce impactful insights and will own performance reporting.
        ","Canada, or US National",US National,,Partial Remote Job,,BACHELOR
957,Data Analyst,,"
            Engage with several clients and ensure the success of large analytics implementations for various platforms, serve as a trusted analytics resource and develop customer reporting segments and views. Strong Excel skills are necessary. Remote.
        ",US National,US National,,100% Remote Job,,
958,Data Analyst,,"
            Full-time, contract position. Wil perform analyses, interface with team, produce client deliverables, convert   BACHELOR  ness problems and communicate insights. Must have related PYTHON, C++ and SPP experience. Telecommute. 
        ","New York, NY",NY,,100% Remote Job,,BACHELOR
959,Data Analyst,,"
            Product safety/regulatory compliance analyst needed for a full-time opportunity. This position is partially remote. Will be managing systems and making recommendations.   BACHELOR  's degree in a related field and three years' experience required.
        ","Benton Harbor, MI",MI,,Partial Remote Job,,BACHELOR
960,Data Analyst,,"
            SEO Analyst is needed for a remote opportunity. The candidate will oversee and develop projects that increase the organic visibility of the company's website. Must possess superior analytical skills. BA/BS degree and prior related experience req.
        ",US National,US National,,100% Remote Job,,
961,Data Analyst,,"
            Temporary position will lead the requirements management efforts for projects, devise/execute a plan for assigned projects, take ownership of the   BACHELOR  ness analysis role, and identify/understand stakeholders.  BACHELOR  degree required and six years of exp. 
        ","Memphis, TN",TN,,Remote - During Pandemic Job,,BACHELOR
962,Data Analyst,,"
            Position with the option for remote work for a manager, people analytics, global talent selection. Will lead a team of psychologists and research scientists, and execute, guide and support selection assessment and research. Need   PHD   and five years' exp. 
        ",US National,US National,,Option for Remote Job,,PHD
